"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2025","10,657.26","10,637.42","10,679.81","10,596.71","3.90B","0.39%"
"07/21/2025","10,616.18","10,413.24","10,641.00","10,413.24","4.70B","2.41%"
"07/18/2025","10,366.16","10,381.25","10,407.44","10,334.81","4.04B","-0.04%"
"07/17/2025","10,370.71","10,199.25","10,386.80","10,178.35","4.39B","2.46%"
"07/16/2025","10,121.52","10,210.76","10,306.71","9,990.12","4.95B","-1.02%"
"07/14/2025","10,225.48","10,358.61","10,358.61","10,225.48","3.82B","-1.28%"
"07/11/2025","10,358.46","10,415.69","10,441.05","10,269.95","3.97B","0.26%"
"07/10/2025","10,331.31","10,266.31","10,365.11","10,266.31","4.70B","1.61%"
"07/09/2025","10,167.26","10,008.49","10,171.95","9,986.70","3.94B","1.69%"
"07/08/2025","9,998.20","10,173.73","10,203.58","9,957.84","3.49B","-1.08%"
"07/07/2025","10,107.68","10,137.91","10,183.47","10,093.23","3.59B","-1.64%"
"07/04/2025","10,275.75","10,248.11","10,314.29","10,188.74","3.24B","0.46%"
"07/03/2025","10,228.39","10,315.25","10,379.27","10,180.36","4.00B","0.39%"
"07/02/2025","10,189.02","10,103.74","10,307.02","10,103.74","5.18B","1.08%"
"07/01/2025","10,080.35","9,972.96","10,137.36","9,940.37","4.94B","1.33%"
"06/30/2025","9,948.51","9,452.86","9,949.51","9,450.80","5.68B","5.78%"
"06/27/2025","9,404.89","9,310.07","9,431.35","9,235.32","3.24B","1.12%"
"06/26/2025","9,301.05","9,426.84","9,464.67","9,301.05","2.55B","-1.25%"
"06/25/2025","9,418.52","9,473.60","9,484.00","9,395.04","2.67B","-0.32%"
"06/24/2025","9,448.90","9,419.14","9,483.05","9,302.93","3.76B","3.36%"
"06/23/2025","9,141.31","9,116.97","9,175.25","9,077.80","2.49B","-0.67%"
"06/20/2025","9,203.37","9,195.44","9,259.15","9,146.88","2.68B","1.11%"
"06/19/2025","9,102.02","9,238.81","9,294.69","9,092.69","2.86B","-1.02%"
"06/18/2025","9,196.13","9,310.65","9,330.64","9,143.78","3.23B","-1.54%"
"06/17/2025","9,339.59","9,355.81","9,419.52","9,328.59","2.60B","-0.11%"
"06/16/2025","9,350.01","9,308.75","9,434.14","9,218.78","3.04B","0.41%"
"06/13/2025","9,311.88","9,166.80","9,311.88","9,065.17","3.44B","-2.19%"
"06/12/2025","9,520.22","9,614.75","9,651.34","9,510.33","2.97B","-1.71%"
"06/11/2025","9,686.11","9,658.93","9,733.62","9,630.53","3.29B","0.28%"
"06/10/2025","9,659.31","9,554.93","9,679.11","9,546.59","3.51B","1.82%"
"06/05/2025","9,486.56","9,446.75","9,495.74","9,421.70","1.05B","0.12%"
"06/04/2025","9,474.96","9,273.00","9,474.96","9,255.47","2.54B","2.13%"
"06/03/2025","9,277.01","9,077.01","9,299.27","9,077.01","3.29B","2.98%"
"06/02/2025","9,008.87","9,012.94","9,083.81","8,964.99","2.78B","-0.12%"
"05/30/2025","9,019.57","9,161.46","9,176.18","8,985.52","3.05B","-1.65%"
"05/29/2025","9,170.56","9,237.16","9,265.55","9,162.41","2.95B","-0.08%"
"05/28/2025","9,177.70","9,210.72","9,247.97","9,116.06","2.53B","-0.39%"
"05/27/2025","9,213.58","9,344.47","9,390.97","9,213.58","2.59B","-1.41%"
"05/26/2025","9,345.15","9,419.94","9,427.11","9,296.30","2.47B","-0.12%"
"05/23/2025","9,356.04","9,461.18","9,505.67","9,326.14","3.42B","-1.26%"
"05/22/2025","9,475.21","9,451.26","9,521.03","9,353.85","3.69B","0.81%"
"05/21/2025","9,398.93","9,494.13","9,530.13","9,398.93","3.20B","-1.21%"
"05/20/2025","9,514.01","9,666.18","9,683.25","9,514.01","3.30B","-1.60%"
"05/16/2025","9,668.36","9,542.75","9,677.59","9,516.86","3.78B","1.33%"
"05/15/2025","9,541.30","9,730.71","9,761.10","9,518.51","3.42B","-1.65%"
"05/14/2025","9,701.55","9,700.27","9,771.71","9,658.64","3.67B","0.01%"
"05/13/2025","9,700.17","9,719.01","9,747.90","9,652.09","4.16B","-0.48%"
"05/12/2025","9,747.07","9,611.21","9,767.77","9,570.46","4.49B","3.80%"
"05/09/2025","9,390.51","9,280.71","9,421.36","9,231.76","3.66B","1.20%"
"05/08/2025","9,279.21","9,123.90","9,302.62","9,093.65","3.05B","2.25%"
"05/07/2025","9,074.62","9,136.54","9,189.46","9,032.54","3.46B","-0.66%"
"05/06/2025","9,134.68","9,109.68","9,228.43","9,105.43","3.10B","0.25%"
"05/05/2025","9,112.19","9,217.78","9,240.67","9,087.81","3.68B","-0.60%"
"05/02/2025","9,167.58","9,120.98","9,194.82","9,103.71","2.83B","0.98%"
"04/30/2025","9,078.43","9,225.29","9,250.06","9,058.16","3.73B","-1.59%"
"04/29/2025","9,224.84","9,272.47","9,312.18","9,216.78","3.05B","-0.88%"
"04/28/2025","9,306.96","9,457.25","9,464.53","9,306.96","3.34B","-1.33%"
"04/25/2025","9,432.55","9,510.14","9,531.35","9,427.88","3.52B","-0.61%"
"04/24/2025","9,490.90","9,353.61","9,493.83","9,301.42","3.67B","1.92%"
"04/22/2025","9,312.13","9,378.74","9,409.06","9,286.36","3.66B","-0.10%"
"04/21/2025","9,321.64","9,343.14","9,477.78","9,268.07","4.67B","0.05%"
"04/18/2025","9,317.24","9,426.26","9,433.80","9,288.98","3.19B","-0.84%"
"04/17/2025","9,396.02","9,276.21","9,438.32","9,256.93","4.98B","1.40%"
"04/16/2025","9,266.09","9,369.37","9,398.67","9,245.26","3.68B","-1.36%"
"04/15/2025","9,393.79","9,443.74","9,492.29","9,383.77","4.10B","-0.32%"
"04/14/2025","9,423.62","9,456.17","9,491.28","9,407.56","3.86B","0.45%"
"04/11/2025","9,380.95","9,352.49","9,406.53","9,260.01","3.63B","0.45%"
"04/10/2025","9,338.58","9,579.11","9,581.24","9,338.58","3.37B","0.68%"
"04/09/2025","9,275.50","9,398.73","9,472.96","9,275.50","3.55B","-2.13%"
"04/08/2025","9,477.14","9,553.24","9,562.24","9,412.10","2.99B","0.74%"
"04/07/2025","9,407.17","9,117.38","9,506.73","9,050.56","4.34B","0.29%"
"04/04/2025","9,379.83","9,496.81","9,524.76","9,339.67","3.14B","-1.10%"
"04/03/2025","9,484.26","9,530.67","9,627.70","9,484.26","3.07B","-0.41%"
"04/02/2025","9,523.31","9,606.37","9,643.17","9,517.72","3.21B","-1.41%"
"03/28/2025","9,659.48","9,567.76","9,669.22","9,415.95","4.10B","0.49%"
"03/27/2025","9,612.84","9,774.58","9,830.83","9,593.66","4.65B","-0.38%"
"03/26/2025","9,649.53","9,617.01","9,749.43","9,566.80","4.42B","-0.68%"
"03/25/2025","9,715.58","9,462.68","9,811.55","9,404.20","5.49B","4.48%"
"03/24/2025","9,299.36","9,167.00","9,386.54","8,872.75","6.08B","2.82%"
"03/21/2025","9,044.64","9,758.53","9,758.53","8,984.54","5.00B","-7.81%"
"03/20/2025","9,810.94","9,839.83","10,156.71","9,660.61","6.76B","-0.50%"
"03/19/2025","9,860.29","10,060.48","10,378.14","9,806.52","4.80B","-8.72%"
"03/18/2025","10,802.23","10,832.76","10,872.24","10,752.04","4.18B","-0.55%"
"03/17/2025","10,862.14","10,869.00","10,902.61","10,809.13","4.65B","0.20%"
"03/14/2025","10,840.59","10,772.35","10,862.97","10,726.27","3.77B","1.05%"
"03/13/2025","10,727.58","10,625.38","10,744.01","10,625.38","4.02B","1.39%"
"03/12/2025","10,580.26","10,492.43","10,620.88","10,470.61","4.55B","1.36%"
"03/11/2025","10,438.33","10,421.64","10,522.14","10,357.09","4.48B","0.15%"
"03/10/2025","10,422.24","10,481.45","10,543.98","10,380.21","3.49B","-0.81%"
"03/07/2025","10,507.11","10,453.65","10,556.78","10,407.44","4.32B","0.46%"
"03/06/2025","10,459.08","10,269.90","10,459.08","10,186.44","5.19B","2.65%"
"03/05/2025","10,188.85","9,984.67","10,203.17","9,984.67","4.07B","2.94%"
"03/04/2025","9,898.01","9,901.91","9,958.82","9,859.58","3.10B","-0.13%"
"03/03/2025","9,911.07","9,748.03","10,029.83","9,748.03","4.46B","2.61%"
"02/28/2025","9,658.72","9,696.68","9,749.65","9,623.94","3.14B","-0.85%"
"02/27/2025","9,741.07","9,565.61","9,782.23","9,563.29","3.43B","1.75%"
"02/26/2025","9,573.21","9,467.96","9,629.29","9,422.17","2.90B","1.29%"
"02/25/2025","9,451.58","9,583.73","9,605.45","9,437.74","2.80B","-1.29%"
"02/24/2025","9,574.83","9,694.37","9,705.96","9,546.72","2.67B","-0.28%"
"02/21/2025","9,602.16","9,815.92","9,829.89","9,474.03","4.10B","-2.09%"
"02/20/2025","9,807.50","9,764.55","9,853.00","9,754.32","4.39B","0.45%"
"02/19/2025","9,763.67","9,923.44","9,953.91","9,759.01","4.27B","-1.55%"
"02/18/2025","9,916.89","9,829.94","9,944.21","9,811.48","4.04B","0.82%"
"02/17/2025","9,836.49","9,890.23","9,899.27","9,836.49","2.66B","-0.42%"
"02/14/2025","9,877.59","9,930.00","9,954.21","9,855.10","3.21B","-0.37%"
"02/13/2025","9,914.68","9,855.84","9,930.73","9,845.63","3.45B","1.38%"
"02/12/2025","9,779.57","9,895.71","9,904.24","9,756.73","3.60B","-1.04%"
"02/11/2025","9,882.79","9,840.00","9,888.43","9,788.47","3.22B","0.38%"
"02/10/2025","9,845.85","9,962.07","9,983.21","9,830.73","3.05B","-1.06%"
"02/07/2025","9,951.65","9,839.51","9,962.68","9,801.02","3.63B","1.11%"
"02/06/2025","9,842.15","9,782.85","9,866.50","9,780.61","3.17B","1.26%"
"02/05/2025","9,719.81","9,821.60","9,841.70","9,619.83","4.39B","-0.89%"
"02/04/2025","9,807.10","9,818.19","9,905.21","9,782.84","3.47B","0.33%"
"02/03/2025","9,774.40","9,918.35","9,918.35","9,749.91","4.22B","-2.30%"
"01/31/2025","10,004.38","10,104.41","10,119.01","9,986.36","3.18B","-0.77%"
"01/30/2025","10,082.10","10,095.36","10,155.00","10,071.86","3.22B","0.05%"
"01/29/2025","10,076.99","10,140.22","10,180.41","10,076.99","3.37B","-0.44%"
"01/28/2025","10,121.77","10,031.57","10,139.72","9,977.05","3.53B","1.24%"
"01/27/2025","9,997.85","10,032.46","10,069.76","9,962.56","3.43B","-1.06%"
"01/24/2025","10,104.85","10,125.49","10,133.46","10,064.07","3.11B","-0.08%"
"01/23/2025","10,112.76","10,141.58","10,151.55","10,069.59","4.01B","0.07%"
"01/22/2025","10,105.37","10,014.24","10,121.76","9,984.12","3.56B","1.06%"
"01/21/2025","9,999.55","10,008.82","10,076.45","9,966.27","4.17B","-0.30%"
"01/20/2025","10,029.31","10,035.76","10,048.93","9,923.63","3.76B","0.51%"
"01/17/2025","9,977.94","9,882.60","9,989.36","9,851.36","3.54B","1.13%"
"01/16/2025","9,866.73","9,846.11","9,878.75","9,734.92","4.46B","1.30%"
"01/15/2025","9,739.72","9,731.19","9,784.39","9,659.51","4.16B","0.25%"
"01/14/2025","9,715.86","9,780.64","9,851.61","9,679.82","4.04B","-0.18%"
"01/13/2025","9,733.17","9,901.84","9,916.76","9,707.36","4.22B","-1.79%"
"01/10/2025","9,910.61","10,013.36","10,038.77","9,865.74","4.07B","-0.90%"
"01/09/2025","10,000.72","9,932.63","10,016.94","9,899.27","3.93B","1.11%"
"01/08/2025","9,890.76","9,962.85","10,011.36","9,881.77","3.93B","-0.81%"
"01/07/2025","9,972.03","10,079.29","10,095.06","9,972.03","5.13B","-1.13%"
"01/06/2025","10,085.50","10,108.92","10,159.14","10,063.24","6.78B","0.10%"
"01/03/2025","10,075.17","9,990.42","10,097.08","9,990.42","6.03B","1.14%"
"01/02/2025","9,961.34","9,858.10","9,961.34","9,826.97","3.62B","1.33%"
"12/31/2024","9,830.56","9,857.39","9,942.55","9,780.73","2.93B","-0.60%"
"12/30/2024","9,889.71","10,040.66","10,061.32","9,889.71","2.30B","-1.35%"
"12/27/2024","10,025.47","9,962.71","10,055.06","9,953.98","3.10B","0.77%"
"12/26/2024","9,949.01","9,962.46","10,050.56","9,890.88","3.57B","0.33%"
"12/25/2024","9,916.22","9,846.39","9,934.90","9,832.73","2.36B","2.52%"
"12/24/2024","9,672.75","9,635.86","9,690.44","9,562.36","2.39B","0.48%"
"12/23/2024","9,626.56","9,756.61","9,778.64","9,605.43","2.75B","-1.01%"
"12/20/2024","9,724.50","9,790.96","9,814.92","9,699.85","3.05B","-0.42%"
"12/19/2024","9,765.12","9,851.29","9,897.51","9,754.43","2.84B","-1.52%"
"12/18/2024","9,915.76","10,007.26","10,052.85","9,912.58","3.62B","-0.95%"
"12/17/2024","10,011.27","10,012.62","10,055.86","9,912.43","3.31B","0.14%"
"12/16/2024","9,997.66","10,146.61","10,157.77","9,997.66","2.92B","-1.26%"
"12/13/2024","10,125.46","10,028.15","10,125.46","9,962.62","3.54B","0.66%"
"12/12/2024","10,058.63","10,109.23","10,155.34","10,026.06","3.51B","0.00%"
"12/11/2024","10,058.47","10,132.38","10,171.50","10,008.89","3.67B","-0.40%"
"12/10/2024","10,099.03","10,257.19","10,276.73","10,078.81","3.63B","-1.54%"
"12/09/2024","10,257.39","10,174.96","10,262.28","10,149.91","4.64B","1.75%"
"12/06/2024","10,081.00","10,063.70","10,098.10","10,010.57","3.85B","1.46%"
"12/05/2024","9,935.96","9,912.17","9,965.51","9,849.47","3.43B","0.50%"
"12/04/2024","9,886.05","9,858.69","9,940.31","9,853.09","4.49B","0.60%"
"12/03/2024","9,827.23","9,713.21","9,885.80","9,661.11","4.41B","1.51%"
"12/02/2024","9,681.11","9,602.31","9,703.24","9,573.86","2.98B","0.30%"
"11/29/2024","9,652.00","9,650.73","9,734.16","9,575.85","4.00B","0.12%"
"11/28/2024","9,640.08","9,640.57","9,672.36","9,586.90","3.33B","0.00%"
"11/27/2024","9,639.77","9,730.98","9,744.57","9,618.88","3.85B","0.04%"
"11/26/2024","9,636.12","9,654.12","9,691.57","9,576.59","3.47B","-0.25%"
"11/25/2024","9,659.96","9,618.42","9,720.33","9,591.47","4.35B","1.15%"
"11/22/2024","9,549.89","9,377.49","9,550.63","9,337.23","4.76B","1.94%"
"11/21/2024","9,367.77","9,079.84","9,380.57","9,069.91","3.73B","3.72%"
"11/20/2024","9,031.82","9,272.75","9,307.69","9,023.38","2.93B","-2.18%"
"11/19/2024","9,232.90","9,430.99","9,443.10","9,170.74","3.43B","-1.73%"
"11/18/2024","9,395.39","9,419.42","9,445.30","9,315.27","2.75B","0.06%"
"11/15/2024","9,389.62","9,447.70","9,501.13","9,375.93","2.85B","-0.33%"
"11/14/2024","9,420.42","9,354.28","9,437.67","9,335.38","2.77B","1.29%"
"11/13/2024","9,300.30","9,196.02","9,415.77","9,128.63","3.61B","0.80%"
"11/12/2024","9,226.86","9,253.94","9,288.83","9,190.16","3.01B","-0.54%"
"11/11/2024","9,276.78","9,215.15","9,330.13","9,197.23","3.58B","1.00%"
"11/08/2024","9,184.82","8,939.40","9,195.83","8,927.94","3.23B","2.67%"
"11/07/2024","8,946.13","8,873.32","8,946.13","8,801.30","2.66B","0.95%"
"11/06/2024","8,862.32","8,647.94","8,915.87","8,586.90","3.17B","2.83%"
"11/05/2024","8,618.57","8,714.65","8,729.63","8,566.62","2.24B","-0.52%"
"11/04/2024","8,663.88","8,862.49","8,862.49","8,610.89","2.36B","-2.49%"
"11/01/2024","8,885.00","8,888.51","8,982.03","8,849.18","2.61B","0.24%"
"10/31/2024","8,863.88","9,004.60","9,051.60","8,846.07","2.15B","-1.58%"
"10/30/2024","9,006.55","8,961.03","9,050.76","8,917.62","2.11B","0.68%"
"10/28/2024","8,945.80","8,936.03","8,954.21","8,915.61","797.26M","0.42%"
"10/25/2024","8,908.47","8,843.64","8,921.64","8,782.55","2.00B","0.40%"
"10/24/2024","8,872.85","8,779.05","8,920.17","8,779.05","2.02B","1.81%"
"10/23/2024","8,714.69","8,853.83","8,867.10","8,664.02","2.95B","-1.40%"
"10/22/2024","8,838.60","8,677.75","8,913.54","8,676.76","2.88B","2.13%"
"10/21/2024","8,654.39","8,798.31","8,807.85","8,642.18","2.13B","-1.58%"
"10/18/2024","8,793.61","9,018.59","9,070.02","8,783.51","2.70B","-2.32%"
"10/17/2024","9,002.34","8,948.59","9,060.13","8,927.06","2.70B","0.52%"
"10/16/2024","8,956.03","8,849.06","8,963.81","8,779.27","2.36B","1.08%"
"10/15/2024","8,860.30","8,709.81","8,890.29","8,685.23","2.80B","1.85%"
"10/14/2024","8,699.19","8,885.45","8,887.19","8,680.72","2.45B","-1.99%"
"10/11/2024","8,876.22","8,987.04","9,080.68","8,836.95","2.51B","-0.98%"
"10/10/2024","8,964.10","9,137.30","9,176.41","8,964.10","2.47B","-1.84%"
"10/09/2024","9,132.30","9,043.91","9,132.30","8,901.22","2.60B","0.97%"
"10/08/2024","9,044.89","9,040.75","9,152.68","8,978.13","3.16B","0.15%"
"10/07/2024","9,031.64","9,155.77","9,195.49","9,005.39","2.36B","-0.85%"
"10/04/2024","9,109.34","8,953.20","9,109.34","8,850.42","2.82B","2.37%"
"10/03/2024","8,898.23","9,026.49","9,159.33","8,869.84","3.05B","-1.27%"
"10/02/2024","9,012.87","9,320.46","9,339.22","9,012.87","2.88B","-3.62%"
"10/01/2024","9,351.22","9,673.56","9,680.84","9,238.71","3.50B","-3.25%"
"09/30/2024","9,665.78","9,747.67","9,757.93","9,643.34","2.50B","-1.14%"
"09/27/2024","9,777.46","9,814.69","9,820.48","9,696.01","2.21B","-0.53%"
"09/26/2024","9,829.19","9,953.28","10,049.52","9,806.69","2.99B","-0.62%"
"09/25/2024","9,891.00","10,033.67","10,064.06","9,886.49","3.36B","-1.38%"
"09/24/2024","10,029.73","9,911.41","10,108.15","9,878.57","3.61B","1.44%"
"09/23/2024","9,887.75","9,959.21","9,980.91","9,857.72","2.67B","-0.13%"
"09/20/2024","9,900.25","9,985.03","10,008.72","9,887.41","3.13B","-0.76%"
"09/19/2024","9,975.61","9,872.85","9,980.81","9,851.95","2.81B","2.06%"
"09/18/2024","9,774.49","9,753.17","9,827.33","9,736.13","2.27B","0.17%"
"09/17/2024","9,758.14","9,611.59","9,786.13","9,611.59","2.47B","1.89%"
"09/16/2024","9,577.46","9,686.89","9,720.23","9,567.10","2.31B","-1.12%"
"09/13/2024","9,685.49","9,537.20","9,685.49","9,427.25","3.00B","1.73%"
"09/12/2024","9,521.04","9,532.38","9,559.96","9,274.55","3.05B","1.08%"
"09/11/2024","9,419.66","9,610.01","9,643.46","9,413.41","2.62B","-2.12%"
"09/10/2024","9,624.04","9,737.17","9,788.36","9,588.02","2.49B","-0.78%"
"09/09/2024","9,699.56","9,795.24","9,838.01","9,699.56","2.23B","-0.73%"
"09/06/2024","9,771.16","9,936.20","9,980.96","9,768.60","2.35B","-1.67%"
"09/05/2024","9,936.76","10,030.51","10,040.28","9,897.19","2.68B","-0.48%"
"09/04/2024","9,984.93","9,929.83","9,988.43","9,879.11","2.54B","-0.37%"
"09/03/2024","10,021.80","10,130.47","10,159.21","9,983.80","2.71B","-0.87%"
"09/02/2024","10,110.18","9,879.82","10,116.31","9,879.82","2.60B","2.82%"
"08/29/2024","9,833.22","9,762.37","9,888.40","9,705.48","2.98B","0.78%"
"08/28/2024","9,757.16","9,757.77","9,836.58","9,735.38","2.25B","0.09%"
"08/27/2024","9,748.75","9,561.73","9,748.75","9,523.25","2.55B","1.91%"
"08/26/2024","9,565.76","9,739.80","9,749.15","9,553.17","2.60B","-1.06%"
"08/23/2024","9,668.10","9,927.42","9,935.21","9,651.21","2.27B","-2.55%"
"08/22/2024","9,921.40","9,979.48","10,031.07","9,869.61","2.68B","0.17%"
"08/21/2024","9,904.79","9,966.57","10,080.73","9,897.58","2.57B","-0.78%"
"08/20/2024","9,982.28","10,038.19","10,109.96","9,950.89","2.77B","-0.72%"
"08/19/2024","10,054.20","9,866.98","10,061.07","9,796.63","2.69B","2.36%"
"08/16/2024","9,821.96","10,041.43","10,055.12","9,821.96","2.29B","-1.61%"
"08/15/2024","9,982.98","9,874.42","9,982.98","9,763.26","2.60B","1.55%"
"08/14/2024","9,830.94","9,976.68","9,989.92","9,825.00","2.25B","-0.90%"
"08/13/2024","9,920.61","9,842.18","9,920.61","9,708.34","2.48B","0.94%"
"08/12/2024","9,828.56","9,980.15","10,078.12","9,807.35","2.62B","-0.80%"
"08/09/2024","9,907.38","10,160.02","10,189.15","9,907.38","2.40B","-1.89%"
"08/08/2024","10,098.50","10,016.80","10,148.05","10,006.12","2.30B","0.74%"
"08/07/2024","10,024.31","9,960.50","10,076.40","9,902.19","2.46B","1.45%"
"08/06/2024","9,881.23","10,161.67","10,193.88","9,881.23","2.52B","-0.12%"
"08/05/2024","9,893.41","9,769.69","10,117.77","9,733.35","2.80B","-5.54%"
"08/02/2024","10,473.47","10,661.45","10,686.14","10,415.62","2.18B","-3.01%"
"08/01/2024","10,798.09","10,751.99","10,880.04","10,751.99","2.38B","1.50%"
"07/31/2024","10,638.58","10,658.11","10,703.57","10,565.06","2.47B","-0.50%"
"07/30/2024","10,691.68","10,756.17","10,832.65","10,666.05","2.39B","-0.39%"
"07/29/2024","10,733.75","10,827.98","10,873.33","10,728.76","2.33B","-1.45%"
"07/26/2024","10,891.42","10,911.92","10,948.13","10,850.50","2.41B","0.18%"
"07/25/2024","10,871.48","10,989.16","11,017.21","10,838.43","2.85B","-1.09%"
"07/24/2024","10,991.57","11,092.63","11,121.33","10,991.57","3.02B","-0.88%"
"07/23/2024","11,089.53","11,185.98","11,187.44","11,039.15","2.89B","-0.74%"
"07/22/2024","11,172.75","11,182.64","11,245.53","11,119.30","2.56B","0.15%"